#"Step" "Potential Energy (kJ/mole)" "Temperature (K)"
317500 22198.69646393118 297.3273306489928
318000 22232.067516673185 298.3359986348288
318500 22130.727354157545 308.8185207242909
319000 22228.22367893515 334.1318215951216
319500 22079.804741252043 331.1796140644326
320000 22087.14986454306 323.3054502116344
320500 22114.999084818937 300.6812881301629
321000 22013.851312506773 311.0825039800361
321500 22039.60841404257 301.094553126891
322000 22068.387652624227 293.70244415579356
322500 22107.646764147856 301.74983435648426
323000 22044.331740248777 303.9223480926919
323500 22068.66536186991 303.08698155287624
324000 22029.86964117346 324.31068871630555
324500 22139.962386477568 294.8026567592948
325000 22093.955674994566 296.29112668300047
325500 22053.916746605017 300.5434580331258
326000 22069.518380034544 307.9509871531108
326500 22228.314832079985 297.26119423119906
327000 22143.240249503233 317.6704371670223
327500 22187.26524435339 288.5472080163418
328000 22121.3651746398 297.3222490090185
328500 22239.575088847258 281.96047639939883
329000 22188.19475733099 309.9616143587084
329500 22083.178720820524 301.6566626127189
330000 22082.180527556517 306.2721184429787
330500 22117.44913040457 280.4859747274452
331000 22079.49601208029 294.06609432282187
331500 22125.83223663626 307.5661092486529
332000 22087.79073082266 269.57349082419637
332500 22055.1794532424 288.752075708705
333000 21989.55186544714 288.514465232665
333500 22057.736485827543 298.0243414048775
334000 22106.71569691954 286.92626499537494
334500 22047.529512751677 288.2638627805331
335000 22056.624185908415 300.3816966660618
335500 22105.115421641447 282.01582371951304
336000 22113.47308956442 294.541865994505
336500 22081.015057910063 293.4631815209442
337000 22097.420539248564 276.0237441104008
337500 22056.519819605925 293.82948515515125
338000 22067.115698207 284.4368872256955
338500 22103.15849577246 286.9275416635458
339000 22016.861540663816 296.9402248334131
339500 22072.4390777236 285.1502193080001
340000 21953.593922961332 301.28337485263586
340500 21978.68732105551 277.12931371367796
341000 22048.671503413298 281.9381722554721
341500 21986.63406835852 318.9788968786332
342000 22006.77687631903 296.7051426610056
342500 22028.31077038107 279.7965989478766
343000 21991.777246344664 287.92762343011486
343500 22010.856233943083 285.0957981981275
344000 22043.4491423255 274.22649571830567
344500 21991.937105525114 293.4989532624382
345000 22065.33527885733 293.69551009533603
345500 22088.549677241423 288.5825792344881
346000 22002.247479069807 308.8586481571915
346500 22030.446599352934 269.9994474045057
347000 22017.016718257048 297.64777435988486
347500 21963.151341784574 301.8457596982653
348000 22020.608435023405 288.86815238141855
348500 22068.90376697836 286.11210116027956
349000 22137.14669309912 284.09659257638157
349500 22102.551633227446 294.5093735379205
350000 22126.49521671591 315.3437469746484
350500 22048.692955840208 304.6638670055929
351000 21981.563526499845 307.53729660032565
351500 22085.19715534506 288.19424681615595
352000 21998.718296397306 297.8831569248032
352500 22071.88225780783 307.0969712449165
353000 22068.43278228102 309.56634787991874
353500 22045.518961120226 300.34106857897666
354000 21944.79584347067 307.45353715523186
354500 22055.225622523405 280.7639128980596
355000 22053.96270834265 306.14047142512214
355500 22034.78878437338 307.9533151950695
356000 22070.322110522367 277.7414135198442
356500 22061.040953028776 303.8454225772188
357000 22071.808012354948 291.06219424756665
357500 22045.4069718009 306.859736259515
358000 22102.039337504484 302.2653830031387
358500 22042.774479258635 316.2076007375713
359000 22034.5908645278 295.12790675035967
359500 22005.644872058012 301.17673551130315
360000 22084.414724696257 311.3424186000027
360500 21986.41229950247 293.61623150519495
361000 22043.919302809813 283.5383381277756
361500 22057.013216841795 284.64255596475414
362000 21987.26105819998 310.7459392043979
362500 22128.61216770468 296.8715100465684
363000 22069.47562824545 302.6001954891306
